"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Appeal // Authority","WG","U","2727","39.5%","55.1%","502","54.8%"
"Disposal Mummy","W","C","5642","36.8%","55.1%","1085","52.4%"
"Hollow One","","R","1252","66.1%","55.0%","219",""
"Sunscorched Desert","","C","6019","43.7%","55.0%","1035","54.6%"
"Ruthless Sniper","B","U","5969","72.5%","55.0%","1181","59.9%"
"Reduce // Rubble","UR","U","839","14.9%","54.9%","142",""
"Sidewinder Naga","G","C","6518","39.7%","54.9%","1380","53.5%"
"Oasis Ritualist","G","C","12494","64.9%","54.9%","2779","55.8%"
"Thorned Moloch","R","C","9566","55.8%","54.9%","2044","52.1%"
"Soulstinger","B","C","11447","66.6%","54.9%","2377","53.9%"
"Shefet Monitor","G","U","5792","80.7%","54.9%","1077","54.0%"
"Greater Sandwurm","G","C","12096","67.7%","54.8%","2389","52.3%"
"Canyon Slough","","R","1721","69.8%","54.8%","315",""
"Abandoned Sarcophagus","","R","1092","57.9%","54.8%","200",""
"Wander in Death","B","C","10586","58.1%","54.7%","2002","51.4%"
"Initiate's Companion","G","C","8043","52.5%","54.7%","1707","57.5%"
"Feral Prowler","G","C","8634","57.6%","54.7%","1921","55.8%"
"Dread Wanderer","B","R","1628","75.3%","54.7%","294",""
"Majestic Myriarch","G","M","957","73.5%","54.6%","153",""
"Hekma Sentinels","U","C","6545","35.3%","54.6%","1313","54.2%"
"Dune Beetle","B","C","3338","21.2%","54.6%","682","53.1%"
"Watchers of the Dead","","U","1573","24.7%","54.6%","281",""
"Crash Through","R","C","4868","29.2%","54.6%","972","55.8%"
"Winds of Rebuke","U","C","5150","29.3%","54.6%","990","55.1%"
"Seer of the Last Tomorrow","U","C","2314","14.0%","54.6%","457",""
"In Oketra's Name","W","C","4394","27.2%","54.5%","789","53.4%"
"Neheb, the Worthy","BR","R","1144","53.8%","54.5%","205",""
"Naga Vitalist","G","C","10981","69.4%","54.4%","2322","55.2%"
"Torment of Hailfire","B","R","1395","75.8%","54.4%","223",""
"Kefnet the Mindful","U","M","704","72.7%","54.4%","111",""
"Onward // Victory","WR","U","1923","28.9%","54.4%","327",""
"Prowling Serpopard","G","R","1582","81.6%","54.4%","282",""
"Ancient Crab","U","C","2004","11.5%","54.3%","422",""
"Khenra Eternal","B","C","10028","67.5%","54.3%","2168","56.8%"
"Merciless Javelineer","BR","U","3809","49.0%","54.3%","749","50.5%"
"Ornery Kudu","G","C","8279","48.7%","54.3%","1762","53.7%"
"Defiant Greatmaw","G","U","4831","75.3%","54.3%","922","54.1%"
"Champion of Rhonas","G","R","1792","80.5%","54.2%","291",""
"Tormenting Voice","R","C","4593","27.1%","54.2%","874","49.4%"
"Gate to the Afterlife","","U","618","12.2%","54.2%","127",""
"Drake Haven","U","R","2468","81.1%","54.2%","453",""
"Lethal Sting","B","C","11246","68.5%","54.1%","2206","51.7%"
"Scarab Feast","B","C","2819","17.3%","54.1%","564","56.7%"
"Doomed Dissenter","B","C","10625","73.2%","54.1%","2311","54.0%"
"Crypt of the Eternals","","U","2042","36.4%","54.1%","382",""
"Harsh Mentor","R","R","1285","77.9%","54.1%","232",""
"Spring // Mind","UG","U","3361","48.3%","54.1%","691","54.1%"
"Aven Mindcensor","W","R","1233","70.7%","54.0%","194",""
"Unburden","B","C","4421","30.7%","53.9%","847","50.2%"
"Marauding Boneslasher","B","C","8342","54.4%","53.9%","1887","53.8%"
"Rhonas's Monument","","U","2236","54.8%","53.8%","408",""
"Thoughtseize","B","R","930","59.5%","53.8%","141",""
"Ramunap Excavator","G","R","997","61.1%","53.8%","178",""
"Destined // Lead","BG","U","2043","35.0%","53.7%","347",""
"Obelisk Spider","BG","U","3567","60.9%","53.7%","682","56.3%"
"Wasteland Scorpion","B","C","10765","71.7%","53.7%","2325","52.1%"
"Watchful Naga","G","U","4729","71.2%","53.7%","936","54.1%"
"Unconventional Tactics","W","U","3296","50.8%","53.7%","605","50.4%"
"Slither Blade","U","C","2588","20.8%","53.7%","589","58.6%"
"Bontu the Glorified","B","M","768","69.3%","53.5%","128",""
"Pouncing Cheetah","G","C","3587","27.1%","53.5%","699","48.9%"
"Miasmic Mummy","B","C","6618","47.0%","53.5%","1383","52.6%"
"Blighted Bat","B","C","6411","46.1%","53.4%","1352","51.5%"
"Supernatural Stamina","B","C","3693","28.7%","53.2%","663","54.4%"
"Doomfall","B","U","2893","59.4%","53.1%","513","53.2%"
"Beneath the Sands","G","C","5811","37.4%","53.1%","1200","51.0%"
"Pitiless Vizier","B","C","6783","40.9%","53.1%","1370","49.9%"
"Mirage Mirror","","R","1196","74.1%","53.1%","223",""
"Stinging Shot","G","C","3319","21.3%","53.0%","607","51.1%"
"Nissa, Steward of Elements","UG","M","632","56.1%","53.0%","101",""
"Cryptic Serpent","U","U","3043","49.5%","52.8%","537","52.7%"
"Floodwaters","U","C","4687","24.7%","52.8%","820","49.4%"
"Forsake the Worldly","W","C","2583","16.8%","52.8%","436",""
"Nest of Scarabs","B","U","2561","50.7%","52.4%","502","51.4%"
"Pursue Glory","R","C","3238","18.4%","52.3%","532","49.8%"
"Renewed Faith","W","U","905","17.3%","52.0%","149",""
"Scavenger Grounds","","R","529","38.0%","52.0%","69",""
"Imminent Doom","R","R","596","33.6%","51.8%","97",""
"Dissenter's Deliverance","G","C","1272","8.4%","51.4%","205",""
"Oashra Cultivator","G","C","3322","24.4%","50.9%","670","49.6%"
"Bontu's Monument","","U","970","29.8%","50.9%","163",""
"Claim // Fame","BR","U","1192","21.9%","50.8%","207",""
"Manglehorn","G","U","1164","27.7%","49.5%","197",""
"Sixth Sense","G","U","1035","27.8%","49.3%","176",""
"Haze of Pollen","G","C","511","4.1%","49.1%","104",""
"Driven // Despair","BG","R","901","55.4%","48.8%","147",""
"Trespasser's Curse","B","C","1671","20.4%","47.3%","347",""
"Kefnet's Monument","","U","726","17.2%","47.1%","129",""
"Hazoret's Monument","","U","656","14.3%","46.2%","107",""
"Anointed Procession","W","R","473","31.1%","","74",""
"Gideon's Intervention","W","R","357","21.1%","","54",""
"Protection of the Hekma","W","U","275","5.3%","","44",""
"Rest in Peace","W","R","45","3.4%","","10",""
"Solemnity","W","R","33","2.3%","","1",""
"As Foretold","U","M","120","19.3%","","18",""
"New Perspectives","U","R","308","17.4%","","49",""
"Demonic Pact","B","M","254","30.1%","","38",""
"Dispossess","B","R","3","0.2%","","1",""
"Liliana's Defeat","B","U","38","0.7%","","8",""
"Razaketh, the Foulblooded","B","M","475","56.2%","","72",""
"Shadow of the Grave","B","R","133","7.9%","","20",""
"By Force","R","U","54","0.9%","","6",""
"Chandra's Defeat","R","U","116","1.7%","","27",""
"Glorious End","R","M","62","6.3%","","9",""
"Shatterstorm","R","R","15","0.9%","","0",""
"Life Goes On","G","C","212","1.8%","","29",""
"Failure // Comply","WU","R","212","11.6%","","39",""
"Leave // Chance","WR","R","325","16.9%","","47",""
"Reason // Believe","UG","R","288","17.8%","","38",""
"Refuse // Cooperate","UR","R","425","23.4%","","64",""
"Cascading Cataracts","","R","352","28.6%","","58",""
