"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Inquisition of Kozilek","B","R","5482","40.0%","52.9%","929","55.4%"
"Daemogoth Woe-Eater","BG","U","42951","63.6%","52.9%","8298","52.7%"
"Kasmina, Enigma Sage","UG","M","11406","75.5%","52.8%","1914","52.7%"
"Devastating Mastery","W","R","8059","34.5%","52.8%","1309","51.7%"
"Necroblossom Snarl","","R","12087","57.4%","52.8%","2304","54.0%"
"Grapeshot","R","R","13666","59.5%","52.8%","2232","50.5%"
"Lorehold Apprentice","WR","U","26470","34.2%","52.8%","5225","52.7%"
"Infuriate","R","U","32171","41.3%","52.8%","5435","53.0%"
"Charge Through","G","C","37232","18.4%","52.7%","7076","50.2%"
"Culling Ritual","BG","R","8631","37.2%","52.7%","1467","52.3%"
"Golden Ratio","UG","U","20369","24.8%","52.7%","3444","49.9%"
"Spectacle Mage","UR","C","133563","63.7%","52.6%","34751","52.6%"
"Blood Age General","R","C","63844","30.5%","52.6%","14854","53.1%"
"Whirlwind Denial","U","U","34396","39.2%","52.6%","5839","53.8%"
"Frostboil Snarl","","R","19658","70.0%","52.5%","3648","53.8%"
"Daemogoth Titan","BG","R","12392","55.1%","52.4%","2084","56.8%"
"Pillardrop Warden","R","C","147515","56.3%","52.4%","29542","49.6%"
"Big Play","G","C","44768","25.7%","52.4%","8011","53.1%"
"Exponential Growth","G","R","10082","42.8%","52.4%","1503","53.0%"
"Flamescroll Celebrant","R","R","19350","73.8%","52.4%","3476","54.0%"
"Vortex Runner","U","C","101145","47.6%","52.4%","20342","50.5%"
"Honor Troll","G","U","38598","61.6%","52.3%","7490","51.1%"
"Solve the Equation","U","U","11667","12.9%","52.2%","1963","50.3%"
"Brainstorm","U","R","11515","65.0%","52.2%","2013","51.3%"
"Accomplished Alchemist","G","R","19569","73.2%","52.1%","3367","50.0%"
"Uvilda, Dean of Perfection","U","R","32419","86.1%","52.1%","5685","51.5%"
"Wormhole Serpent","U","U","50993","58.1%","52.1%","8430","49.9%"
"Archway Commons","","C","130117","57.3%","52.1%","27639","51.9%"
"Burrog Befuddler","U","C","56740","25.8%","52.1%","11307","52.1%"
"Deadly Brew","BG","U","35234","50.9%","52.0%","6516","49.3%"
"Pestilent Cauldron","B","R","14273","63.6%","52.0%","2429","48.7%"
"Letter of Acceptance","","C","99666","42.6%","52.0%","19535","51.2%"
"Moldering Karok","BG","C","61193","42.1%","52.0%","12852","51.9%"
"Quintorius, Field Historian","WR","U","46620","59.2%","52.0%","8990","49.2%"
"Ecological Appreciation","G","M","4310","41.2%","52.0%","730","51.0%"
"Biblioplex Assistant","","C","111291","45.6%","52.0%","19194","47.7%"
"Tome Shredder","R","C","88428","48.7%","51.9%","18591","51.2%"
"Thrill of Possibility","R","U","33002","38.1%","51.9%","5849","51.2%"
"Bayou Groff","G","C","77699","50.1%","51.9%","15965","51.7%"
"Twinscroll Shaman","R","C","45903","22.2%","51.9%","10388","51.6%"
"Karok Wrangler","G","U","48164","72.7%","51.8%","8331","49.9%"
"Ardent Dustspeaker","R","U","59644","64.6%","51.8%","10320","50.5%"
"Springmane Cervin","G","C","65971","39.9%","51.8%","13221","50.3%"
"Teach by Example","UR","C","72922","29.0%","51.7%","12596","48.0%"
"Oriq Loremage","B","R","8591","38.4%","51.7%","1369","49.7%"
"Adventurous Impulse","G","U","25669","38.0%","51.7%","4636","50.4%"
"Tend the Pests","BG","U","30703","42.1%","51.7%","5472","51.0%"
"Ephemerate","W","R","6056","33.6%","51.7%","968","52.3%"
"Ageless Guardian","W","C","21326","11.0%","51.7%","4373","50.0%"
"Relic Sloth","WR","C","31497","17.6%","51.7%","5696","49.5%"
"Tainted Pact","B","M","778","10.9%","51.7%","134",""
"Soothsayer Adept","U","C","70070","30.9%","51.5%","13433","51.5%"
"Storm-Kiln Artist","R","U","50843","60.4%","51.4%","9553","50.4%"
"Verdant Mastery","G","R","7527","32.0%","51.4%","1241","49.2%"
"Waterfall Aerialist","U","C","90690","45.4%","51.4%","18367","49.7%"
"Spell Satchel","","U","15578","19.1%","51.4%","2910","50.6%"
"Lorehold Excavation","WR","U","19374","25.1%","51.3%","3637","49.2%"
"Reject","U","C","37473","20.1%","51.3%","7007","54.2%"
"Fuming Effigy","R","C","52911","27.5%","51.3%","10351","49.4%"
"Team Pennant","","U","27138","33.9%","51.3%","4690","48.7%"
"Symmetry Sage","U","U","19765","24.1%","51.2%","4048","53.0%"
"Increasing Vengeance","R","M","5389","56.3%","51.2%","833","49.7%"
"Environmental Sciences","","C","6655","1.5%","51.1%","1251","52.0%"
"Hall Monitor","R","U","12829","17.3%","51.0%","2464","51.7%"
"Stonebinder's Familiar","W","U","14055","19.6%","50.9%","2790","51.6%"
"Witherbloom Command","BG","R","9601","49.3%","50.8%","1676","47.4%"
"Chaos Warp","R","M","3401","39.7%","50.8%","556","48.0%"
"Semester's End","W","R","7265","34.5%","50.8%","1117","47.2%"
"Cogwork Archivist","","C","49867","21.9%","50.8%","8052","47.4%"
"First Day of Class","R","C","42623","18.3%","50.8%","8041","47.9%"
"Sudden Breakthrough","R","C","40687","21.2%","50.7%","7468","49.9%"
"Novice Dissector","B","C","19412","11.0%","50.2%","3386","47.1%"
"Gift of Estates","W","R","3268","22.6%","50.2%","588","44.0%"
"Jadzi, Oracle of Arcavios","U","M","10838","72.9%","50.1%","1630","44.7%"
"Spirit Summoning","WR","C","4486","1.4%","50.0%","843","49.0%"
"Double Major","UG","R","6089","28.0%","49.9%","948","48.1%"
"Stone Rain","R","R","2127","12.5%","49.9%","353",""
"Teferi's Protection","W","M","2086","32.7%","49.8%","337",""
"Dark Ritual","B","R","2330","21.4%","49.7%","391",""
"Faithless Looting","R","R","5765","34.9%","49.6%","956","44.6%"
"Claim the Firstborn","R","U","5407","7.8%","49.6%","898","47.3%"
"Detention Vortex","W","U","2547","3.6%","49.4%","445",""
"Spined Karok","G","C","21579","12.1%","49.4%","4115","47.8%"
"Weather the Storm","G","R","3875","22.9%","49.2%","658","46.5%"
"Tangletrap","G","C","6997","4.0%","49.2%","1115","49.2%"
"Grinning Ignus","R","U","21328","24.4%","49.2%","4048","46.3%"
"Resculpt","U","C","9626","5.1%","49.1%","1691","48.4%"
"Oggyar Battle-Seer","UR","C","28215","14.0%","49.0%","5010","45.8%"
"Pest Summoning","BG","C","8935","3.3%","48.7%","1724","48.8%"
"Tendrils of Agony","B","R","3548","22.9%","48.3%","520","46.7%"
"Elemental Summoning","UR","C","5433","1.4%","48.3%","919","47.0%"
"Strixhaven Stadium","","R","5359","23.2%","47.9%","925","45.1%"
"Excavated Wall","","C","6096","3.3%","47.8%","1176","44.6%"
"Channel","G","M","1265","14.0%","47.7%","200",""
"Square Up","UG","C","6029","3.5%","47.3%","1005","43.3%"
"Necrotic Fumes","B","U","2017","2.0%","46.8%","346",""
