"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Treacherous Greed","WB","R","13303","40.9%","51.7%","2155","51.5%"
"Connecting the Dots","R","R","17652","47.0%","51.7%","2918","46.7%"
"Rakish Scoundrel","BG","C","70476","31.0%","51.7%","11669","50.9%"
"Tragic Slip","B","M","2152","77.2%","51.6%","367",""
"Candlestick","U","U","16946","19.8%","51.5%","2860","49.9%"
"Crime Novelist","R","U","38069","46.4%","51.5%","6468","49.1%"
"Knife","R","U","18757","22.6%","51.3%","3083","47.7%"
"Pick Your Poison","G","C","21611","9.9%","51.3%","3545","48.1%"
"Victimize","B","M","2271","79.4%","51.1%","389",""
"Flotsam // Jetsam","UBG","U","41579","43.6%","51.1%","7042","46.1%"
"Lead Pipe","B","U","15475","18.9%","51.1%","2645","48.5%"
"Assassin's Trophy","BG","R","16202","52.2%","51.1%","2663","48.2%"
"Officious Interrogation","WU","R","12596","33.8%","51.0%","1973","45.8%"
"Agency Coroner","B","C","16891","8.1%","51.0%","2638","48.3%"
"Spell Snare","U","U","702","9.5%","51.0%","130",""
"Curious Inquiry","U","U","22734","31.6%","51.0%","3647","50.7%"
"Ghostly Prison","W","M","1540","65.0%","50.9%","273",""
"Barbed Servitor","B","R","19796","74.8%","50.9%","3351","50.2%"
"The Pride of Hull Clade","G","M","7621","47.3%","50.9%","1137","48.9%"
"Rot Farm Mortipede","B","C","46223","21.9%","50.9%","7549","50.5%"
"Metalspinner's Puzzleknot","","C","1389","20.0%","50.8%","237",""
"Chalk Outline","G","U","42876","39.5%","50.7%","7128","49.4%"
"Mistveil Plains","","U","1230","16.2%","50.7%","208",""
"Judith, Carnage Connoisseur","BR","R","22891","68.7%","50.6%","3760","48.5%"
"Break Out","RG","U","6865","7.8%","50.5%","1160","50.7%"
"Polygraph Orb","B","U","13117","15.9%","50.4%","2098","49.5%"
"Conspiracy Unraveler","U","M","6486","46.6%","50.4%","963","49.6%"
"Behind the Mask","U","C","9797","4.2%","50.4%","1453","47.2%"
"Case of the Gorgon's Kiss","B","U","16970","23.2%","50.3%","2652","45.2%"
"Expose the Culprit","R","U","6532","7.8%","50.1%","1041","46.4%"
"Kuldotha Rebirth","R","C","1746","23.4%","50.1%","258",""
"Case of the Uneaten Feast","W","R","4456","14.9%","50.1%","714","46.4%"
"Insidious Roots","BG","U","40895","41.3%","50.0%","7089","48.7%"
"Combine Chrysalis","UG","U","3088","33.5%","50.0%","510","43.1%"
"Curious Cadaver","UB","U","40451","43.5%","49.9%","6629","47.3%"
"Agency Outfitter","U","U","16152","18.5%","49.9%","2435","48.5%"
"Cryptex","","R","6152","17.1%","49.6%","1018","47.3%"
"Drown in the Loch","UB","M","1267","45.0%","49.4%","210",""
"Rope","G","U","7727","9.1%","49.4%","1322","47.9%"
"Magnifying Glass","","C","18415","9.5%","49.3%","2895","44.4%"
"Stromkirk Captain","BR","U","1629","24.6%","49.2%","259",""
"Magnetic Snuffler","","U","11706","13.3%","49.1%","1770","45.9%"
"Illicit Masquerade","B","R","11153","37.1%","49.1%","1734","46.6%"
"Relive the Past","WG","R","4683","11.7%","49.0%","692","43.5%"
"It Doesn't Add Up","B","U","15782","21.1%","48.9%","2365","44.4%"
"Cerebral Confiscation","B","C","15553","8.2%","48.9%","2580","47.2%"
"Goblin Warchief","R","U","829","11.3%","48.3%","141",""
"Living Conundrum","U","U","11390","12.2%","47.8%","1727","42.6%"
"Quintorius, Field Historian","WR","U","1468","21.9%","46.9%","210",""
"Worldspine Wurm","G","M","726","29.1%","46.8%","112",""
"Ixidor, Reality Sculptor","U","R","858","32.2%","45.7%","148",""
"Leyline of the Guildpact","WUBRG","R","4552","14.6%","45.5%","0",""
"Reenact the Crime","U","R","2568","7.5%","45.5%","401",""
"Kylox, Visionary Inventor","UR","R","2294","6.5%","45.5%","338",""
"Undergrowth Recon","G","M","508","3.0%","45.1%","85",""
"Slime Against Humanity","G","C","16775","8.1%","45.0%","2815","42.0%"
"Case of the Ransacked Lab","U","R","734","2.0%","34.7%","142",""
"Mass Hysteria","R","R","244","7.8%","","32",""
"Ghost Quarter","","U","380","5.1%","","67",""
"Molten Psyche","R","R","171","5.6%","","22",""
"Gnaw to the Bone","G","C","375","4.7%","","64",""
"Duskmantle, House of Shadow","","U","343","4.1%","","59",""
"Possibility Storm","R","R","71","2.2%","","14",""
"Millstone","","U","216","2.9%","","39",""
"Evolutionary Leap","G","R","483","15.4%","","76",""
"Shard of Broken Glass","","C","328","4.0%","","53",""
"Bishop of the Bloodstained","B","U","478","7.5%","","73",""
"High Alert","WU","U","365","4.8%","","47",""
"Laid to Rest","G","U","161","2.1%","","18",""
"Monologue Tax","W","R","126","5.1%","","21",""
"Fabricate","U","M","93","3.0%","","20",""
"Show and Tell","U","M","171","6.4%","","30",""
"Gamble","R","M","280","11.7%","","44",""
"Field of the Dead","","M","306","12.1%","","41",""
"Anzrag's Rampage","R","R","435","1.1%","","63",""
"Expedited Inheritance","R","M","377","2.1%","","64",""
