"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Phyrexian Espionage","U","C","328426","72.6%","57.2%","57138","57.2%"
"Llanowar Loamspeaker","G","R","38052","88.3%","57.2%","7019","65.2%"
"Sol'kanar the Tainted","UBR","M","18257","77.9%","57.2%","3023","59.3%"
"Goblin Picker","R","C","175204","53.8%","57.2%","32090","57.9%"
"Evolved Sleeper","B","R","38994","88.5%","57.2%","7061","62.9%"
"King Darien XLVIII","WG","R","37823","87.8%","57.2%","6696","59.4%"
"Balmor, Battlemage Captain","UR","U","114313","76.0%","57.2%","19792","60.5%"
"Impulse","U","C","306599","72.2%","57.1%","55035","57.3%"
"The Cruelty of Gix","B","R","43800","90.1%","57.1%","7384","59.3%"
"Essence Scatter","U","C","415249","85.5%","57.1%","72806","58.5%"
"Captain's Call","W","C","246453","77.7%","57.1%","42184","56.0%"
"Samite Herbalist","W","C","163658","61.4%","57.1%","29752","58.1%"
"Defiler of Instinct","R","R","35182","84.8%","57.0%","6078","59.6%"
"Tail Swipe","G","U","109287","87.0%","57.0%","18249","56.6%"
"Territorial Maro","G","U","121198","86.8%","57.0%","20364","57.8%"
"Flowstone Infusion","R","C","294098","78.6%","57.0%","51003","57.3%"
"Cleaving Skyrider","W","U","88148","81.5%","57.0%","15267","55.3%"
"Temporal Firestorm","R","R","38562","80.2%","57.0%","6487","57.4%"
"Yavimaya Steelcrusher","R","C","177558","56.9%","57.0%","32058","57.3%"
"Battlewing Mystic","U","U","132165","85.6%","56.9%","23497","57.4%"
"Gaea's Might","G","C","209906","58.0%","56.9%","35152","56.3%"
"Raff, Weatherlight Stalwart","WU","U","112442","73.8%","56.9%","19555","58.9%"
"Defiler of Vigor","G","R","38729","87.2%","56.9%","6480","59.5%"
"Silver Scrutiny","U","R","40628","85.6%","56.8%","6757","55.1%"
"Keldon Flamesage","R","R","38746","85.0%","56.8%","6830","60.6%"
"Charismatic Vanguard","W","C","138019","52.7%","56.8%","24017","54.8%"
"Knight of Dusk's Shadow","B","U","117163","89.0%","56.8%","21242","59.7%"
"Talas Lookout","U","C","356731","86.2%","56.8%","60601","56.9%"
"Tolarian Terror","U","C","409195","87.8%","56.8%","68045","54.8%"
"Mossbeard Ancient","G","U","118150","86.0%","56.8%","19132","55.5%"
"Furious Bellow","R","C","128986","44.6%","56.7%","21271","55.2%"
"Astor, Bearer of Blades","WR","R","6964","24.2%","56.7%","1144","56.5%"
"Sacred Peaks","","C","324001","88.6%","56.7%","58105","58.2%"
"Meria's Outrider","R","C","299977","79.1%","56.7%","49867","55.3%"
"Strength of the Coalition","G","U","75952","64.7%","56.6%","12676","55.6%"
"Sunbathing Rootwalla","G","C","321468","85.9%","56.6%","57560","57.3%"
"Tear Asunder","G","U","121058","87.7%","56.6%","20855","56.0%"
"Urborg Repossession","B","C","350229","80.3%","56.6%","58026","53.3%"
"Vineshaper Prodigy","G","C","274719","76.4%","56.6%","48578","55.4%"
"Flowstone Kavu","R","C","203456","64.6%","56.6%","35720","56.8%"
"Magnigoth Sentry","G","C","240573","79.4%","56.6%","41326","56.6%"
"Extinguish the Light","B","C","308388","90.6%","56.6%","51702","56.0%"
