"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Tablet of Compleation","","R","12439","52.9%","50.8%","2202","50.1%"
"Myr Custodian","","C","17850","7.2%","50.5%","3133","47.3%"
"Meldweb Curator","U","C","37674","16.0%","50.2%","5986","47.1%"
"Tyvar, Jubilant Brawler","BG","R","4985","25.7%","50.2%","788","49.9%"
"Noxious Assault","G","U","16760","22.2%","50.1%","2367","45.5%"
"Vat Emergence","B","U","21453","32.9%","50.0%","3155","48.5%"
"Watchful Blisterzoa","U","U","31312","39.6%","50.0%","4730","48.2%"
"Tainted Observer","UG","U","38362","48.7%","50.0%","6482","49.8%"
"Thrummingbird","U","U","54567","71.3%","49.9%","9456","50.1%"
"Myr Kinsmith","","C","13919","5.4%","49.9%","2184","46.3%"
"Paladin of Predation","G","U","21308","33.3%","49.7%","3071","47.9%"
"Aspirant's Ascent","U","C","28161","12.3%","49.6%","4398","46.7%"
"Tamiyo's Logbook","U","U","16136","17.3%","49.6%","2619","44.1%"
"Phyrexian Arena","B","R","15219","66.2%","49.5%","2553","47.9%"
"Phyrexian Obliterator","B","M","8158","62.2%","49.5%","1333","49.7%"
"Reject Imperfection","U","U","19979","26.4%","49.5%","3178","48.3%"
"Ezuri, Stalker of Spheres","UG","R","12861","48.6%","49.4%","2091","48.8%"
"Prologue to Phyresis","U","C","81106","39.7%","49.3%","14132","46.7%"
"Phyrexian Atlas","","C","36004","18.3%","49.0%","6481","47.3%"
"Graaz, Unstoppable Juggernaut","","R","6023","26.2%","48.6%","833","44.4%"
"Gitaxian Anatomist","U","C","32181","14.5%","48.3%","5055","45.3%"
"Soulless Jailer","","R","2027","6.3%","47.8%","349",""
"Duress","B","C","3745","1.9%","47.8%","662","43.8%"
"Expand the Sphere","G","U","7415","11.0%","47.6%","1183","41.2%"
"Vat of Rebirth","B","U","11697","15.5%","47.2%","1927","41.9%"
"Staff of Compleation","","M","1567","14.7%","46.6%","286",""
"Geth, Thane of Contracts","B","R","3715","15.1%","46.6%","616","40.1%"
"Font of Progress","U","U","5036","5.6%","42.9%","885","37.1%"
"Monument to Perfection","","R","628","1.9%","42.4%","104",""
"Encroaching Mycosynth","U","R","705","2.2%","40.1%","127",""
"Mindsplice Apparatus","U","R","776","2.9%","39.7%","110",""
"Ichormoon Gauntlet","U","M","491","3.7%","","80",""
"Minor Misstep","U","U","97","0.1%","","13",""
"Mirran Safehouse","","R","27","0.1%","","5",""
