"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Invasion of Ulgrotha","B","U","7064","75.8%","54.4%","1101","52.5%"
"Mirror-Shield Hoplite","WR","U","3519","40.2%","54.4%","627","55.2%"
"Plargg and Nassari","R","R","2663","78.6%","54.4%","442",""
"Golden-Scale Aeronaut","W","C","4735","38.9%","54.4%","726","53.7%"
"Bloodfeather Phoenix","R","R","1789","69.5%","54.3%","333",""
"Kami of Whispered Hopes","G","U","8320","86.7%","54.3%","1466","55.7%"
"Invasion of Mercadia","R","U","8154","74.0%","54.3%","1545","58.7%"
"Invasion of Gobakhan","W","R","2080","80.2%","54.3%","361",""
"Goreclaw, Terror of Qal Sisma","G","R","1382","81.6%","54.3%","232",""
"Tyvar the Bellicose","BG","M","721","50.2%","54.2%","118",""
"Enduring Bondwarden","W","C","5178","45.6%","54.2%","913","56.1%"
"Zirda, the Dawnwaker","WR","R","1061","63.1%","54.2%","156",""
"Horobi, Death's Wail","B","R","943","60.3%","54.2%","164",""
"Daxos, Blessed by the Sun","W","U","2577","55.2%","54.2%","405",""
"Kwende, Pride of Femeref","W","U","1974","35.4%","54.2%","275",""
"Botanical Brawler","WG","U","5186","64.6%","54.1%","913","57.3%"
"Furtive Analyst","U","C","1787","11.2%","54.1%","289",""
"Negate","U","C","1703","11.0%","54.1%","254",""
"Seraph of New Capenna","W","U","3327","52.2%","54.1%","586","54.4%"
"Urabrask","R","M","1088","77.9%","54.0%","159",""
"Judith, the Scourge Diva","BR","R","1405","65.0%","54.0%","246",""
"Quintorius, Loremaster","WR","R","2341","68.1%","54.0%","382",""
"Anafenza, Kin-Tree Spirit","W","R","1188","80.4%","54.0%","180",""
"Rampaging Raptor","R","R","2597","83.8%","53.9%","427",""
"Oculus Whelp","U","C","3817","23.4%","53.9%","560","51.4%"
"Ravenous Sailback","G","U","3511","41.7%","53.9%","516","53.5%"
"Tiller of Flesh","W","U","3152","46.3%","53.9%","497",""
"Invasion of Tarkir","R","M","1386","77.0%","53.9%","269",""
"Disturbing Conversion","U","C","3749","21.2%","53.9%","616","50.8%"
"Coming In Hot","R","C","1268","9.7%","53.9%","201",""
"Rona, Sheoldred's Faithful","UB","U","1434","18.3%","53.8%","240",""
"Joyful Stormsculptor","UR","U","4433","37.3%","53.8%","679","53.0%"
"Furnace Gremlin","R","U","6378","64.1%","53.8%","1135","52.2%"
"Nissa, Resurgent Animist","G","M","1166","72.7%","53.8%","230",""
"Kitesail","","C","2972","21.6%","53.7%","492",""
"Beamtown Beatstick","R","C","9047","55.0%","53.7%","1562","56.0%"
"Invasion of Ravnica","","M","1582","90.8%","53.7%","261",""
"Skithiryx, the Blight Dragon","B","M","887","91.8%","53.7%","141",""
"Iridescent Blademaster","G","C","5194","37.9%","53.7%","891","53.9%"
"War Historian","G","C","7062","49.3%","53.7%","1250","55.6%"
"Zurgo and Ojutai","WUR","M","1261","67.9%","53.6%","169",""
"Baral and Kari Zev","UR","R","2127","58.7%","53.6%","352",""
"Sigarda, Font of Blessings","WG","R","2208","75.4%","53.6%","355",""
"Blossoming Sands","","C","7517","64.0%","53.6%","1444","56.2%"
"Scoured Barrens","","C","8275","61.2%","53.5%","1507","54.5%"
"Shatter the Source","R","C","9448","57.9%","53.5%","1449","53.3%"
"Shivan Branch-Burner","R","U","4458","55.1%","53.5%","677","50.4%"
"Ob Nixilis, Captive Kingpin","BR","M","1191","70.8%","53.5%","199",""
"Wrenn's Resolve","R","C","3239","23.9%","53.5%","561","52.0%"
"Invasion of Muraganda","G","U","3969","62.6%","53.5%","613","53.3%"
"Nezumi Freewheeler","B","U","6873","71.7%","53.4%","1117","49.1%"
"Invasion of Regatha","R","U","4429","64.4%","53.4%","754","51.3%"
"Stormclaw Rager","BR","U","6846","55.1%","53.4%","1205","52.5%"
"Samut, Vizier of Naktamun","RG","M","648","45.5%","53.4%","112",""
"Compleated Huntmaster","B","U","9713","79.6%","53.4%","1584","52.0%"
"Rankle and Torbran","BR","R","1948","62.0%","53.4%","327",""
"Ghalta and Mavren","WG","R","1787","71.9%","53.4%","238",""
"Wind-Scarred Crag","","C","6898","56.6%","53.3%","1228","55.0%"
"Attentive Skywarden","W","C","4541","43.1%","53.3%","776","48.6%"
"Flitting Guerrilla","B","C","6977","44.1%","53.3%","1126","50.1%"
"Rocco, Street Chef","WRG","R","981","33.9%","53.3%","159",""
"Ayara, First of Locthwain","B","R","633","44.5%","53.2%","101",""
"Lithomantic Barrage","R","U","2333","25.5%","53.2%","439",""
"Markov Baron","B","U","2222","27.7%","53.2%","379",""
"Thalia and The Gitrog Monster","WBG","M","1095","68.1%","53.2%","199",""
"Rugged Highlands","","C","7300","56.7%","53.1%","1361","55.2%"
"Failed Conversion","B","C","4970","34.7%","53.1%","734","51.9%"
"Shanna, Sisay's Legacy","WG","U","2218","43.4%","53.1%","347",""
"Placid Rottentail","G","C","2371","22.6%","53.1%","392",""
"Redcap Heelslasher","R","C","4083","31.3%","53.0%","617","50.7%"
"Reyav, Master Smith","WR","U","2133","29.3%","53.0%","362",""
"Rampaging Geoderm","RG","U","3724","43.3%","53.0%","611","55.8%"
"Captain Lannery Storm","R","R","1591","87.2%","52.9%","293",""
"Tazri, Stalwart Survivor","W","R","862","31.2%","52.9%","172",""
"Gnottvold Hermit","G","U","4293","58.4%","52.9%","705","53.6%"
"Mutagen Connoisseur","UG","U","3888","34.7%","52.9%","640","52.8%"
"Scrollshift","W","C","2761","21.1%","52.9%","393",""
"Zada, Hedron Grinder","R","U","1101","15.5%","52.9%","183",""
"Invasion of Kaldheim","R","R","2193","66.6%","52.8%","352",""
"Sculpted Perfection","WB","U","4749","50.9%","52.7%","774","51.6%"
"Mirran Banesplitter","R","C","1954","15.3%","52.7%","291",""
"Invasion of Karsus","R","R","1844","74.3%","52.7%","319",""
