"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Hotfoot Gnome","R","C","81741","28.3%","53.3%","13614","50.7%"
"Terror Tide","B","R","29497","78.5%","53.3%","4828","53.0%"
"The Ancient One","UB","M","9899","59.5%","53.2%","1663","55.8%"
"Synapse Necromage","B","U","67391","65.7%","53.2%","11709","54.4%"
"Hoverstone Pilgrim","","U","48826","36.6%","53.1%","7793","50.7%"
"Compass Gnome","","C","186011","55.2%","53.1%","34667","52.6%"
"Wail of the Forgotten","UB","R","16189","43.7%","53.1%","2636","51.8%"
"Molten Collapse","BR","R","16836","51.7%","53.1%","2886","53.0%"
"Sage of Days","U","C","85170","25.9%","53.1%","14548","52.9%"
"Cosmium Confluence","G","R","18591","52.1%","53.1%","3062","51.8%"
"Promising Vein","","C","180633","67.5%","53.0%","32926","53.1%"
"Brass's Tunnel-Grinder","R","R","27375","76.9%","53.0%","4571","54.5%"
"Stinging Cave Crawler","B","U","82683","83.1%","53.0%","14187","51.6%"
"Sovereign Okinec Ahau","WG","M","11355","65.9%","52.9%","1901","57.0%"
"Restless Vents","","R","15007","44.6%","52.9%","2712","57.5%"
"Sinuous Benthisaur","U","U","50294","35.4%","52.9%","7799","51.2%"
"Walk with the Ancestors","G","C","55050","22.4%","52.9%","8204","50.2%"
"Glimpse the Core","G","U","31097","35.9%","52.9%","5420","53.0%"
"Treasure Map","","R","31313","87.7%","52.8%","5752","51.0%"
"Runaway Boulder","","C","45293","16.7%","52.8%","7508","49.4%"
"Sunbird Standard","","U","46220","33.5%","52.8%","8247","53.7%"
"Relic's Roar","U","C","16187","5.3%","52.7%","2449","49.9%"
"Family Reunion","W","C","21018","8.3%","52.6%","3135","51.3%"
"Throne of the Grim Captain","","R","17044","39.4%","52.6%","3062","59.2%"
"Ray of Ruin","B","C","111613","47.1%","52.5%","17489","52.0%"
"Soulcoil Viper","B","U","72615","71.8%","52.5%","12267","51.6%"
"Merfolk Cave-Diver","U","U","38751","36.4%","52.4%","6665","52.6%"
"Curator of Sun's Creation","R","U","33042","33.7%","52.4%","5551","51.5%"
"Uchbenbak, the Great Mistake","UB","U","57107","52.4%","52.4%","9012","51.6%"
"Tarrian's Soulcleaver","","R","21751","81.0%","52.3%","3859","53.0%"
"Malamet Veteran","G","C","61020","27.5%","52.3%","9497","50.8%"
"Vito, Fanatic of Aclazotz","WB","M","11368","65.4%","52.3%","1904","57.0%"
"Get Lost","W","R","16594","66.0%","52.2%","2777","49.2%"
