"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Fires of Invention","R","R","911","23.6%","53.6%","151",""
"Linden, the Steadfast Queen","W","R","1763","61.8%","53.5%","306",""
"Mirrormade","U","R","1063","31.6%","53.5%","182",""
"Beloved Princess","W","C","4749","23.7%","53.5%","900","55.7%"
"Steelclaw Lance","BR","U","3853","41.9%","53.5%","640","56.4%"
"Witch's Cottage","","C","11721","50.3%","53.5%","2083","54.0%"
"Prophet of the Peak","","C","6433","24.5%","53.4%","1053","50.0%"
"Piper of the Swarm","B","R","3221","79.1%","53.4%","594","56.1%"
"Inquisitive Puppet","","U","1642","21.2%","53.3%","286",""
"Elite Headhunter","BR","U","3519","47.9%","53.3%","618","50.2%"
"Thrill of Possibility","R","C","12869","49.5%","53.3%","2196","52.0%"
"Forever Young","B","C","13424","53.2%","53.2%","2138","47.3%"
"Wintermoor Commander","WB","U","3999","54.3%","53.1%","710","55.4%"
"Knight of the Keep","W","C","6818","30.9%","53.1%","1235","50.9%"
"Blacklance Paragon","B","R","2940","79.4%","53.0%","554","53.8%"
"Prized Griffin","W","C","6649","29.3%","53.0%","1079","51.2%"
"Foreboding Fruit","B","C","12911","56.0%","53.0%","2355","52.1%"
"Stormfist Crusader","BR","R","1575","48.4%","53.0%","275",""
"Fell the Pheasant","G","C","1402","6.9%","52.9%","211",""
"Ayara, First of Locthwain","B","R","1860","62.1%","52.7%","331",""
"Bog Naughty","B","U","4885","62.9%","52.7%","816","45.8%"
"Cauldron's Gift","B","U","2081","27.0%","52.7%","334",""
"Lost Legion","B","C","12194","61.8%","52.6%","2093","50.4%"
"Barrow Witches","B","C","9419","40.8%","52.5%","1487","47.5%"
"Mantle of Tides","U","C","3499","12.9%","52.5%","606","49.3%"
"Ardenvale Paladin","W","C","6909","34.8%","52.5%","1180","49.1%"
"Locthwain Gargoyle","","C","3335","13.3%","52.5%","588","50.0%"
"Joust","R","U","5443","63.3%","52.4%","914","51.4%"
"Giant Opportunity","G","U","3222","47.7%","52.3%","551","47.2%"
"Signpost Scarecrow","","C","2931","11.2%","52.2%","522","46.2%"
"Eye Collector","B","C","5726","28.5%","51.8%","1045","53.1%"
"Shinechaser","WU","U","2853","28.3%","51.7%","485",""
"Memory Theft","B","C","3260","15.0%","51.6%","542","52.4%"
"Locthwain Paladin","B","C","9517","49.8%","51.5%","1641","50.8%"
"Wolf's Quarry","G","C","2099","9.8%","51.4%","312",""
"Doom Foretold","WB","R","1030","35.4%","51.4%","166",""
"Steelgaze Griffin","U","C","6737","25.4%","51.1%","1129","48.3%"
"Lash of Thorns","B","C","3449","18.7%","50.7%","574","46.9%"
"Tall as a Beanstalk","G","C","1309","6.6%","50.6%","229",""
"Festive Funeral","B","C","5160","24.2%","50.5%","756","45.6%"
"The Cauldron of Eternity","B","M","746","47.3%","50.3%","123",""
"Tournament Grounds","","U","2712","38.2%","49.7%","504","54.2%"
"Giant's Skewer","B","C","4858","25.9%","49.7%","820","50.1%"
"Shining Armor","W","C","3038","16.3%","49.6%","472",""
"Mistford River Turtle","U","C","2004","7.2%","49.1%","319",""
"Righteousness","W","U","678","10.9%","49.0%","122",""
"Fortifying Provisions","W","C","1333","6.9%","48.0%","218",""
"Bartered Cow","W","C","862","3.9%","47.9%","154",""
"Roving Keep","","C","710","3.1%","47.6%","114",""
"Deafening Silence","W","U","90","1.2%","","13",""
"Happily Ever After","W","R","17","0.4%","","6",""
"The Magic Mirror","U","M","170","11.8%","","27",""
"Specter's Shriek","B","U","225","2.8%","","30",""
"Wishclaw Talisman","B","R","407","11.9%","","72",""
"Irencrag Feat","R","R","69","1.8%","","12",""
"Sorcerous Spyglass","","R","114","3.2%","","24",""
