"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Furnace Gremlin","R","U","107404","66.3%","53.4%","19026","52.5%"
"Disturbing Conversion","U","C","73868","21.7%","53.4%","12127","50.9%"
"Lithomantic Barrage","R","U","40750","25.9%","53.3%","6685","53.7%"
"War Historian","G","C","153220","53.8%","53.3%","26394","52.5%"
"Sun-Blessed Guardian","W","U","89663","67.8%","53.2%","15796","52.7%"
"Invasion of Ulgrotha","B","U","111730","77.6%","53.2%","17789","51.5%"
"Invasion of Zendikar","G","U","121843","83.7%","53.2%","21055","55.8%"
"Juri, Master of the Revue","BR","U","65639","49.8%","53.2%","11253","52.7%"
"Thunderhead Squadron","U","C","119305","38.5%","53.2%","17890","49.8%"
"Invasion of Regatha","R","U","80590","67.0%","53.2%","13531","52.8%"
"Wildwood Escort","G","C","126274","43.4%","53.2%","19194","50.5%"
"Urabrask","R","M","17295","78.5%","53.2%","2830","54.9%"
"Wrenn's Resolve","R","C","58873","21.7%","53.1%","10137","50.1%"
"Shatter the Source","R","C","178906","59.1%","53.1%","27175","51.6%"
"Invasion of Dominaria","W","U","60867","59.3%","53.1%","10442","53.4%"
"Invasion of Belenon","W","U","72090","70.6%","53.1%","12488","52.7%"
"Bladed Battle-Fan","B","C","59820","20.2%","53.0%","9270","51.9%"
"Bloodfell Caves","","C","129057","58.0%","53.0%","23882","55.0%"
"Blossoming Sands","","C","115660","61.6%","53.0%","21634","55.3%"
"Thrashing Frontliner","R","C","125857","44.8%","53.0%","22058","53.7%"
"Iridescent Blademaster","G","C","113851","40.6%","53.0%","19824","52.4%"
"Obosh, the Preypiercer","BR","R","21879","74.8%","52.9%","3538","51.5%"
"Stasis Field","U","C","155897","53.3%","52.9%","26002","50.8%"
"Invasion of Tolvada","WB","R","41820","77.2%","52.9%","6761","52.7%"
"Rampaging Geoderm","RG","U","69402","48.0%","52.9%","11499","53.1%"
"Gnottvold Hermit","G","U","83004","63.0%","52.9%","13546","51.4%"
"Ravenous Sailback","G","U","66982","48.3%","52.9%","10320","51.5%"
"Rugged Highlands","","C","106587","53.3%","52.9%","19666","55.3%"
"Kitesail","","C","49641","18.1%","52.9%","8089","51.1%"
"Skithiryx, the Blight Dragon","B","M","13189","87.4%","52.9%","2215","51.0%"
"Zada, Hedron Grinder","R","U","20313","17.5%","52.8%","3275","49.6%"
"Compleated Huntmaster","B","U","141317","79.9%","52.8%","23846","50.7%"
"Stormclaw Rager","BR","U","110093","58.3%","52.8%","18488","51.9%"
"Scrollshift","W","C","61056","22.6%","52.7%","9264","49.9%"
"Shivan Branch-Burner","R","U","84873","60.8%","52.7%","12963","50.6%"
"Wind-Scarred Crag","","C","100811","51.8%","52.6%","18324","54.6%"
"Scoured Barrens","","C","126827","60.8%","52.6%","23194","55.0%"
"Mirran Banesplitter","R","C","30673","12.1%","52.6%","4861","51.7%"
"City on Fire","R","R","23182","52.2%","52.5%","3547","50.5%"
"Etched Familiar","B","C","158440","54.9%","52.5%","27158","51.6%"
"Yarok, the Desecrated","UBG","M","12526","72.9%","52.5%","2129","52.7%"
"Rankle and Torbran","BR","R","29143","63.3%","52.5%","4808","52.0%"
"Invasion of Lorwyn","BG","U","101147","68.5%","52.5%","15606","49.0%"
"Ramosian Greatsword","R","U","53655","32.0%","52.4%","8120","49.3%"
"Valduk, Keeper of the Flame","R","U","37612","34.7%","52.4%","6442","51.7%"
"Harried Artisan","R","U","85102","64.0%","52.4%","14725","50.4%"
"Flitting Guerrilla","B","C","121513","43.0%","52.4%","20663","50.4%"
"Fertilid's Favor","G","C","92114","36.3%","52.3%","14629","51.9%"
"Horobi, Death's Wail","B","R","13807","57.4%","52.3%","2297","51.6%"
"Pyretic Prankster","R","C","177353","58.1%","52.3%","31360","50.6%"
"Mutagen Connoisseur","UG","U","68664","38.4%","52.3%","11400","50.9%"
"Invasion of Muraganda","G","U","70848","64.1%","52.2%","11002","50.0%"
"Attentive Skywarden","W","C","99132","47.3%","52.2%","16709","50.4%"
"Ayara, First of Locthwain","B","R","9909","42.0%","52.1%","1595","49.5%"
"Consuming Aetherborn","B","C","70124","25.5%","52.1%","11066","51.1%"
"Nezumi Freewheeler","B","U","105945","71.6%","52.1%","17405","49.9%"
"Negate","U","C","32166","11.1%","52.1%","4993","51.0%"
"Furnace Host Charger","R","C","121570","44.0%","52.1%","20423","50.0%"
"Yedora, Grave Gardener","G","R","10212","49.9%","52.0%","1601","47.2%"
"Renata, Called to the Hunt","G","U","63625","76.8%","52.0%","10390","49.4%"
"Djeru and Hazoret","WR","R","17812","46.9%","51.9%","2747","49.4%"
"Placid Rottentail","G","C","53376","23.5%","51.8%","9258","52.4%"
"Searing Barb","R","C","59238","24.8%","51.8%","9686","50.7%"
"Onakke Javelineer","R","C","70840","27.4%","51.8%","10861","50.2%"
"Urabrask the Hidden","R","M","9857","79.5%","51.8%","1606","53.1%"
"Seraph of New Capenna","W","U","65954","57.4%","51.7%","11293","49.3%"
"Redcap Heelslasher","R","C","75909","30.2%","51.7%","12258","50.2%"
"Etched Host Doombringer","B","C","51533","19.5%","51.7%","7646","49.5%"
"Taigam, Ojutai Master","WU","R","11872","42.9%","51.7%","1909","49.2%"
"Ezuri, Claw of Progress","UG","M","8939","65.9%","51.7%","1507","49.3%"
"Sculpted Perfection","WB","U","82201","56.3%","51.6%","13604","50.5%"
"Heliod, the Radiant Dawn","W","R","23182","67.2%","51.6%","3707","48.1%"
"Failed Conversion","B","C","92962","35.2%","51.6%","14131","49.0%"
"Kroxa and Kunoros","WBR","M","15259","67.0%","51.5%","2356","49.7%"
"Oculus Whelp","U","C","64862","22.1%","51.5%","10267","48.9%"
"Urn of Godfire","","C","56854","18.9%","51.5%","9964","47.3%"
"Invasion of Moag","WG","U","56175","52.8%","51.4%","8879","48.6%"
"Jegantha, the Wellspring","RG","R","8922","27.7%","51.4%","1453","49.1%"
"Realmbreaker, the Invasion Tree","","R","19448","50.2%","51.3%","3463","47.6%"
"Karsus Depthguard","R","C","45655","18.0%","51.3%","7808","49.9%"
"Coming In Hot","R","C","26255","10.3%","51.3%","3934","49.0%"
"Invasion of Ergamon","RG","U","45323","37.5%","51.3%","7793","51.0%"
"Drana and Linvala","WB","R","21036","58.1%","51.3%","3409","51.4%"
"Tribute to the World Tree","G","R","27648","72.1%","51.2%","4556","53.0%"
"Firja, Judge of Valor","WB","U","45113","44.4%","51.2%","7012","49.4%"
"Tiller of Flesh","W","U","67470","52.7%","51.2%","10851","48.8%"
"War-Trained Slasher","R","C","56719","24.4%","51.2%","9031","50.6%"
"Trailblazing Historian","R","C","49873","19.8%","51.2%","8657","50.0%"
"Mirrodin Avenged","B","C","37596","15.4%","51.1%","5919","49.5%"
"Invasion of Kaldheim","R","R","31314","69.0%","51.1%","4983","48.1%"
"Bonded Herdbeast","G","C","47388","18.6%","51.0%","7262","48.3%"
"Atraxa's Fall","G","C","39168","18.2%","51.0%","6188","49.3%"
"Infected Defector","W","C","55201","24.5%","51.0%","8193","48.8%"
"Yargle and Multani","BG","R","8554","23.5%","50.9%","1324","49.5%"
"Emry, Lurker of the Loch","U","R","1605","5.3%","50.9%","267",""
"Glistening Deluge","B","U","12789","8.2%","50.9%","2040","49.9%"
"Scrappy Bruiser","R","U","22502","16.0%","50.8%","3509","48.3%"
"Invasion of New Capenna","WB","U","47745","40.5%","50.7%","7627","47.6%"
"Copper Host Crusher","G","U","35012","27.0%","50.7%","4970","48.7%"
"Into the Fire","R","R","19581","56.3%","50.6%","3412","48.8%"
"Complete the Circuit","U","R","3303","6.6%","50.6%","492",""
"Invasion of Shandalar","G","M","10783","64.7%","50.5%","1573","45.1%"
"Dina, Soul Steeper","BG","U","15308","14.8%","50.5%","2566","47.3%"
"Phyrexian Archivist","","C","7885","2.8%","50.4%","1128","46.5%"
"Kaheera, the Orphanguard","WG","R","7024","30.7%","50.4%","1200","50.7%"
"Lathiel, the Bounteous Dawn","WG","R","9059","42.8%","50.4%","1514","46.1%"
"Invasion of Kamigawa","U","U","60622","48.8%","50.4%","9644","44.1%"
"Change the Equation","U","U","13659","8.5%","50.4%","2364","48.6%"
"Ichor Shade","B","C","88309","38.0%","50.3%","15002","48.9%"
"Invasion of Theros","W","R","5509","16.4%","50.3%","918","47.3%"
"Squee, the Immortal","R","R","11297","48.9%","50.1%","1931","46.4%"
"Invasion of Kylem","WR","U","19640","17.9%","50.1%","3048","46.5%"
"Invasion of Alara","WUBRG","R","22848","41.8%","50.0%","3684","49.4%"
"Tenured Oilcaster","B","C","37852","15.0%","49.9%","5921","47.1%"
"Furtive Analyst","U","C","39904","13.2%","49.8%","6675","48.0%"
"Niv-Mizzet Reborn","WUBRG","M","5174","34.9%","49.5%","772","49.2%"
"Teysa Karlov","WB","R","9856","43.5%","49.4%","1567","46.8%"
"Arixmethes, Slumbering Isle","UG","R","11271","43.1%","49.2%","1798","50.4%"
"Vorinclex, Voice of Hunger","G","M","4275","51.6%","49.0%","605","47.6%"
"Firesong and Sunspeaker","WR","R","2087","8.9%","48.8%","298",""
"Vengeant Earth","G","C","7082","2.9%","48.8%","1110","46.0%"
"Burning Sun's Fury","R","C","11289","4.4%","48.8%","1643","47.9%"
"Omnath, Locus of All","WUBRG","R","16552","35.2%","48.7%","2651","46.7%"
"Radha, Coalition Warlord","RG","U","10596","10.9%","48.0%","1689","44.9%"
"Invasion of Arcavios","U","R","2771","6.8%","47.1%","420",""
"Crystal Carapace","G","C","5581","2.4%","47.0%","869","45.0%"
"Seizan, Perverter of Truth","B","R","1974","9.0%","46.3%","278",""
"Yargle, Glutton of Urborg","B","U","3898","4.2%","45.8%","571","43.8%"
"Jin-Gitaxias, Core Augur","U","M","1183","12.6%","44.5%","177",""
