"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Bound by Moonsilver","W","C","99551","87.3%","56.8%","16657","55.8%"
"Angelic Purge","W","C","85511","74.2%","56.8%","13493","55.7%"
"Sigardian Priest","W","C","83407","75.6%","56.8%","14712","55.9%"
"Drogskol Shieldmate","W","C","56169","55.3%","56.8%","9611","56.9%"
"Angel of Flight Alabaster","W","R","4689","84.3%","56.8%","729","54.9%"
"Always Watching","W","R","11245","87.8%","56.7%","1966","59.6%"
"Silent Departure","U","C","40860","80.1%","56.6%","6936","56.3%"
"Descend upon the Sinful","W","M","4988","75.7%","56.6%","785","60.4%"
"Clear Shot","G","U","43351","88.9%","56.6%","7253","58.3%"
"Hamlet Captain","G","U","32068","81.0%","56.5%","5767","58.2%"
"Mayor of Avabruck","G","R","5673","90.1%","56.5%","1045","63.3%"
"Rally the Peasants","W","U","3036","22.7%","56.5%","463",""
"Avacyn's Collar","","U","10202","61.0%","56.4%","1796","56.0%"
"Immerwolf","RG","U","9519","67.8%","56.4%","1632","57.1%"
"Devils' Playground","R","R","10566","75.5%","56.4%","1631","58.3%"
"Hanweir Garrison","R","R","17191","84.2%","56.3%","3099","63.9%"
"Mystic Retrieval","U","U","9318","52.3%","56.3%","1471","55.1%"
"Skirsdag High Priest","B","R","2367","83.8%","56.3%","448",""
"Noose Constrictor","G","U","39717","79.2%","56.3%","7106","59.5%"
"Butcher's Cleaver","","U","11697","65.2%","56.3%","1884","55.1%"
"Steadfast Cathar","W","C","69046","64.6%","56.3%","12407","56.0%"
"Neglected Heirloom","","U","17137","49.3%","56.3%","2887","58.3%"
"Galvanic Bombardment","R","C","105224","87.2%","56.3%","18345","58.6%"
"Spider Spawning","G","U","14393","73.4%","56.2%","2300","55.7%"
"True-Faith Censer","","C","46977","45.4%","56.2%","7975","53.7%"
"Feeling of Dread","W","C","10882","28.2%","56.1%","1697","50.4%"
"Intrepid Provisioner","G","C","55604","53.5%","56.1%","8748","55.6%"
"Zealous Conscripts","R","R","2239","80.1%","56.1%","357",""
"Declaration in Stone","W","R","9424","83.9%","56.1%","1665","58.1%"
"Stromkirk Occultist","R","U","32703","85.4%","56.1%","5664","58.7%"
"Incendiary Flow","R","C","103132","88.9%","56.0%","18097","56.7%"
"Tattered Haunter","U","C","66228","65.0%","56.0%","11864","58.0%"
"Collective Defiance","R","R","10664","86.1%","55.9%","1831","56.5%"
"Duskwatch Recruiter","G","U","37576","90.7%","55.9%","6861","60.2%"
"Rattlechains","U","R","9699","76.9%","55.9%","1730","59.1%"
"Battleground Geist","U","C","20292","54.5%","55.9%","3117","54.5%"
"Travel Preparations","G","C","30424","65.6%","55.9%","4984","54.8%"
"Faithless Looting","R","C","24431","67.1%","55.9%","4261","54.8%"
"Sin Prodder","R","R","10677","85.8%","55.9%","1944","59.3%"
"Forbidden Alchemy","U","C","23676","50.5%","55.8%","4056","56.3%"
"Furyblade Vampire","R","U","28607","76.1%","55.8%","5073","58.7%"
"Borrowed Grace","W","C","18585","20.6%","55.7%","2713","54.2%"
"Galvanic Juggernaut","","U","6213","72.0%","55.7%","1020","59.7%"
"Dark Salvation","B","R","11293","85.5%","55.7%","1833","61.5%"
"Lightning Axe","R","U","32897","85.9%","55.6%","5488","57.5%"
"Fortified Village","","U","27975","68.8%","55.6%","5257","57.7%"
"Pack Guardian","G","U","35970","86.4%","55.6%","5921","57.2%"
"Moonlight Hunt","G","C","40163","44.3%","55.6%","6443","55.9%"
"Slayer's Plate","","R","10303","85.2%","55.6%","1672","56.1%"
"Devilthorn Fox","W","C","29268","29.2%","55.6%","5191","55.6%"
"Ironclad Slayer","W","U","19261","53.6%","55.6%","3120","53.0%"
"Bloodmad Vampire","R","C","66973","73.4%","55.6%","11548","56.6%"
"Stromkirk Condemned","B","R","8107","71.0%","55.6%","1460","56.9%"
"Olivia's Dragoon","B","C","79247","75.5%","55.6%","14340","58.4%"
"Olivia's Bloodsworn","B","U","24532","70.5%","55.5%","4438","57.8%"
"Thermo-Alchemist","R","U","33404","77.7%","55.5%","5953","59.3%"
"Fiery Temper","R","U","35547","89.4%","55.5%","6121","55.7%"
"Avacyn's Judgment","R","R","10807","86.3%","55.4%","1958","56.8%"
"Sorin, Grim Nemesis","WB","M","5117","82.8%","55.4%","853","58.0%"
"Bruna, the Fading Light","W","R","15012","77.3%","55.4%","2340","55.9%"
"Howlpack Resurgence","G","U","15002","47.3%","55.4%","2457","58.6%"
"Call the Bloodline","B","U","24784","67.0%","55.4%","4363","56.8%"
"Essence Flux","U","C","37530","40.2%","55.4%","5892","55.1%"
"Mausoleum Wanderer","U","R","6909","64.1%","55.3%","1222","61.7%"
"Gisa's Bidding","B","C","79605","74.1%","55.3%","13298","57.2%"
"Stitcher's Graft","","R","3991","37.4%","55.3%","640","57.3%"
"Insolent Neonate","R","C","60936","63.7%","55.3%","10903","57.8%"
"Hinterland Logger","G","C","70232","79.9%","55.2%","12597","55.9%"
"Weirded Vampire","B","C","56310","59.7%","55.2%","9253","54.2%"
"Falkenrath Noble","B","U","6436","83.1%","55.2%","1051","58.0%"
"Foreboding Ruins","","U","22028","61.8%","55.2%","4143","56.9%"
"Ravenous Bloodseeker","R","C","75634","69.9%","55.2%","13354","55.7%"
"Obsessive Skinner","G","C","98400","82.4%","55.1%","17218","55.1%"
"Make Mischief","R","C","38152","35.6%","55.1%","6339","55.5%"
"Alchemist's Greeting","R","C","87497","83.1%","55.0%","14379","54.5%"
"Lupine Prototype","","U","6016","18.7%","55.0%","1091","54.6%"
"Drag Under","U","C","101525","82.4%","54.9%","17676","54.6%"
"Olivia, Mobilized for War","BR","M","4253","73.7%","54.9%","760","59.6%"
"Voldaren Pariah","B","R","15574","82.1%","54.9%","2532","56.7%"
"Nahiri, the Harbinger","WR","M","3975","69.8%","54.9%","685","59.7%"
