Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR
Cruel Reality,B,M,928,78.20%,58.20%,142,
Khenra Scrapper,R,C,18163,80.30%,58.10%,4101,57.20%
Open Fire,R,C,23017,88.00%,58.10%,5417,57.40%
Unquenchable Thirst,U,C,17415,74.00%,58.10%,3975,57.30%
Thresher Lizard,R,C,14261,66.10%,58.10%,3113,58.10%
Desert of the Mindful,,C,20863,80.50%,58.10%,5064,58.40%
Censor,U,U,5907,74.30%,58.00%,1127,59.80%
Solitary Camel,W,C,10468,50.70%,58.00%,2232,56.90%
Supreme Will,U,U,5590,79.20%,58.00%,1060,60.00%
Grind // Dust,WB,R,2226,77.70%,58.00%,376,
Prepare // Fight,WG,R,1676,69.90%,58.00%,296,
Curator of Mysteries,U,R,2521,85.80%,57.90%,455,
Enigma Drake,UR,U,4034,56.60%,57.90%,846,59.80%
Oketra's Monument,,U,6556,80.80%,57.90%,1205,62.10%
God-Pharaoh's Gift,,R,2861,92.10%,57.90%,476,
Oketra's Attendant,W,U,7650,85.60%,57.90%,1407,57.60%
"Liliana, Death's Majesty",B,M,1086,84.10%,57.80%,205,
"Neheb, the Eternal",R,M,1067,83.70%,57.80%,177,
Hazoret the Fervent,R,M,1093,88.10%,57.80%,204,
Compulsory Rest,W,C,17378,82.40%,57.80%,3824,57.80%
Aven of Enduring Hope,W,C,13263,67.30%,57.80%,2607,55.40%
Liliana's Mastery,B,R,2348,84.30%,57.80%,373,
Gideon of the Trials,W,M,1009,82.90%,57.80%,181,
Dauntless Aven,W,C,16215,79.10%,57.70%,3749,56.70%
Hour of Devastation,R,R,2042,72.10%,57.70%,340,
Vizier of Many Faces,U,R,2526,84.70%,57.70%,401,
Vizier of Deferment,W,U,5684,75.20%,57.70%,1042,56.00%
Nef-Crop Entangler,R,C,18098,78.80%,57.60%,4328,59.50%
"Chandra, Pyromaster",R,M,1083,84.70%,57.60%,211,
Rhonas the Indomitable,G,M,1394,85.20%,57.60%,254,
Trial of Knowledge,U,U,7506,73.90%,57.50%,1313,57.90%
Ipnu Rivulet,,U,6253,71.70%,57.50%,1163,58.50%
Puncturing Blow,R,C,17589,77.40%,57.40%,3521,56.00%
Firebrand Archer,R,C,13682,70.20%,57.40%,2991,57.10%
Desert Cerodon,R,C,12424,56.50%,57.40%,2605,54.30%
Brute Strength,R,C,7232,41.10%,57.40%,1317,56.60%
Essence Scatter,U,C,13523,69.80%,57.30%,2916,58.40%
Seeker of Insight,U,C,6312,32.40%,57.30%,1279,57.10%
Sweltering Suns,R,R,1892,76.00%,57.30%,336,
Hieroglyphic Illumination,U,C,15397,73.10%,57.20%,3335,56.30%
Perilous Vault,,R,1052,59.00%,57.20%,181,
Crocodile of the Crossing,G,U,6008,83.80%,57.20%,1155,59.80%
Cartouche of Knowledge,U,C,14862,72.00%,57.20%,3164,57.00%
Fervent Paincaster,R,U,8186,82.80%,57.20%,1610,57.00%
Gilded Cerodon,R,C,9932,47.00%,57.20%,1821,57.20%
The Locust God,UR,M,1356,87.40%,57.20%,220,
Ominous Sphinx,U,U,7787,83.60%,57.10%,1478,56.00%
Resilient Khenra,G,R,2087,80.60%,57.10%,372,
