"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Sulfur Falls","","R","1737","59.8%","57.1%","350",""
"Tolarian Scholar","U","C","10820","41.8%","56.9%","2079","56.4%"
"Ghitu Chronicler","R","C","19998","79.5%","56.9%","4022","54.7%"
"Bloodstone Goblin","R","C","11154","53.9%","56.9%","2239","58.4%"
"Shalai, Voice of Plenty","W","R","3667","91.9%","56.9%","662","59.1%"
"D'Avenant Trapper","W","C","12816","70.9%","56.9%","2502","56.7%"
"Aven Sentry","W","C","11267","64.4%","56.8%","2124","54.9%"
"Phyrexian Scriptures","B","M","1295","84.5%","56.8%","217",""
"Multani, Yavimaya's Avatar","G","M","2068","88.9%","56.8%","369",""
"Weatherlight","","M","1517","96.4%","56.8%","261",""
"Blessed Light","W","C","17323","81.0%","56.7%","3220","55.8%"
"Dub","W","C","5436","40.2%","56.7%","902","53.8%"
"Forebear's Blade","","R","3168","97.7%","56.6%","538","60.6%"
"Run Amok","R","C","10719","50.1%","56.6%","2022","54.9%"
"The Mirari Conjecture","U","R","2816","72.9%","56.5%","471",""
"Keldon Overseer","R","C","9553","50.0%","56.5%","1788","55.5%"
"Benalish Honor Guard","W","C","10540","62.0%","56.5%","2061","59.0%"
"Helm of the Host","","R","3215","98.6%","56.5%","527","59.0%"
"Sergeant-at-Arms","W","C","11096","63.6%","56.5%","2156","54.3%"
"Academy Drake","U","C","19916","80.6%","56.4%","3946","55.7%"
"Naru Meha, Master Wizard","U","M","2026","85.3%","56.4%","338",""
"Kwende, Pride of Femeref","W","U","5315","86.2%","56.3%","944","57.8%"
"Weight of Memory","U","U","5699","64.8%","56.3%","969","53.7%"
"Daring Archaeologist","W","R","1663","70.2%","56.1%","266",""
"Relic Runner","U","C","8974","39.3%","56.1%","1789","55.1%"
"Sporecrown Thallid","G","U","7135","82.3%","56.0%","1442","59.0%"
"The Eldest Reborn","B","U","8767","90.5%","55.9%","1534","58.0%"
"Skittering Surveyor","","C","26614","93.7%","55.9%","5413","56.9%"
"Seal Away","W","U","6231","83.4%","55.9%","1123","53.3%"
"Sanctum Spirit","W","U","3444","50.4%","55.8%","611","57.8%"
"Triumph of Gerrard","W","U","3975","79.1%","55.8%","648","53.4%"
"Keldon Raider","R","C","11492","52.5%","55.8%","2104","55.9%"
"Deep Freeze","U","C","12864","60.2%","55.8%","2465","53.9%"
"Jodah, Archmage Eternal","WUR","R","549","15.4%","55.7%","86",""
"Traxos, Scourge of Kroog","","R","3685","88.8%","55.7%","660","58.8%"
"Deathbloom Thallid","B","C","20224","86.1%","55.7%","3993","57.9%"
"Skizzik","R","U","5378","66.2%","55.6%","837","55.9%"
"Demonlord Belzenlok","B","M","2049","88.4%","55.6%","354",""
"Jhoira, Weatherlight Captain","UR","M","1366","63.9%","55.6%","229",""
"Icy Manipulator","","U","11091","99.0%","55.5%","1945","56.3%"
"Rampaging Cyclops","R","C","6627","29.7%","55.5%","1149","55.2%"
"Serra Disciple","W","C","8612","61.2%","55.5%","1681","56.8%"
"Vicious Offering","B","C","20835","86.7%","55.4%","4034","57.1%"
"Haphazard Bombardment","R","R","2545","68.3%","55.4%","421",""
"Champion of the Flame","R","U","2291","37.5%","55.4%","419",""
"Steel Leaf Champion","G","R","1744","77.0%","55.4%","299",""
"Knight of Malice","B","U","7033","86.4%","55.4%","1326","59.1%"
"Fervent Strike","R","C","2685","14.5%","55.3%","443",""
"Windgrace Acolyte","B","C","14531","62.4%","55.2%","2567","53.7%"
"Fungal Infection","B","C","18847","80.2%","55.2%","3803","57.2%"
