"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Erebos, Bleak-Hearted","B","M","814","81.5%","51.7%","132",""
"Unknown Shores","","C","3050","27.3%","51.6%","533","52.5%"
"The Triumph of Anax","R","U","997","29.1%","51.6%","160",""
"Elite Instructor","U","C","2874","22.6%","51.5%","499",""
"Omen of the Hunt","G","C","5536","51.0%","51.4%","956","48.0%"
"Setessan Petitioner","G","U","1022","30.4%","51.4%","175",""
"Escape Velocity","R","U","838","19.5%","51.3%","142",""
"Triton Waverider","U","C","3204","27.1%","51.2%","512","54.5%"
"Towering-Wave Mystic","U","C","2730","22.3%","51.0%","447",""
"Minion's Return","B","U","1089","30.0%","50.9%","179",""
"Sea God's Scorn","U","U","1050","24.3%","50.7%","151",""
"Thaumaturge's Familiar","","C","790","7.2%","50.6%","143",""
"Nyxborn Brute","R","C","661","6.2%","49.6%","101",""
"Arena Trickster","R","C","1981","17.9%","49.6%","331",""
"Underworld Dreams","B","U","686","21.5%","49.0%","120",""
"Hydra's Growth","G","U","1470","66.8%","48.9%","239",""
"Satyr's Cunning","R","C","976","8.6%","48.5%","162",""
"Chain to Memory","U","C","767","6.1%","48.2%","124",""
"Sweet Oblivion","U","U","567","11.3%","46.0%","103",""
"Sage of Mysteries","U","U","724","21.7%","45.6%","137",""
"Idyllic Tutor","W","R","149","12.8%","","24",""
"Ashiok's Erasure","U","R","463","29.5%","","80",""
"Fruit of Tizerus","B","C","207","1.7%","","39",""
"Purphoros, Bronze-Blooded","R","M","376","57.9%","","65",""
"Underworld Breach","R","R","113","6.9%","","18",""
"Underworld Fires","R","U","74","1.7%","","14",""
"Inspire Awe","G","C","67","0.7%","","8",""
"Klothys's Design","G","U","470","12.1%","","77",""
"Nylea's Intervention","G","R","224","20.6%","","28",""
"Nyxbloom Ancient","G","M","164","25.9%","","30",""
"Plummet","G","C","211","2.1%","","37",""
"Allure of the Unknown","BR","R","61","2.9%","","1",""
"Dalakos, Crafter of Wonders","UR","R","105","5.8%","","20",""
"Enigmatic Incarnation","UG","R","246","13.3%","","47",""
"Bronze Sword","","C","196","2.1%","","32",""
"Mirror Shield","","U","452","13.8%","","82",""
"Nyx Lotus","","R","67","7.1%","","6",""
"Thundering Chariot","","U","368","10.6%","","57",""
"Field of Ruin","","U","208","5.2%","","41",""
